date,open,high,low,close,volume
2021-01-01,13980.65,14114.58,13969.92,14043.84,
2021-01-04,14026.99,14031.54,13892.01,13927.7,
2021-01-05,13972.83,14042.59,13963.15,14024.35,
2021-01-06,14034.55,14232.98,14024.64,14144.5,
2021-01-07,14138.33,14154.83,13872.33,13919.32,
2021-01-08,13952.55,13968.46,13733.51,13773.49,
2021-01-11,13713.7,13882.74,13625.52,13795.86,
2021-01-12,13740.29,13800.87,13732.96,13766.2,
2021-01-13,13788.11,13847.47,13739.61,13771.62,
2021-01-14,13773.29,13834.86,13620.72,13679.45,
2021-01-15,13686.3,13804.33,13674.73,13789.48,
2021-01-18,13752.9,13890.31,13729.05,13888.39,
2021-01-19,13887.74,13959.04,13881.99,13903.64,
2021-01-20,13959.35,14115.92,13946.0,14045.03,
2021-01-21,14068.18,14156.49,14061.02,14108.51,
2021-01-22,14113.3,14153.16,13955.22,14013.35,
2021-01-25,14001.04,14073.38,13997.35,14064.88,
2021-01-27,14053.78,14072.31,13945.79,13958.19,
2021-01-28,13898.75,14146.74,13821.59,14070.35,
2021-01-29,14077.6,14097.42,14068.29,14071.92,
2021-02-01,14095.72,14191.84,13958.92,14057.36,
2021-02-02,14013.06,14039.96,13979.79,13983.73,
2021-02-03,13965.23,14199.87,13850.46,14137.38,
2021-02-04,14104.65,14134.14,14067.99,14126.39,
2021-02-05,14099.12,14102.22,14048.34,14082.6,
2021-02-08,14084.11,14100.22,14023.13,14048.04,
2021-02-09,13989.48,14153.88,13958.34,14119.32,
2021-02-10,14136.67,14211.81,14079.26,14170.84,
2021-02-11,14192.21,14282.32,14177.38,14228.27,
2021-02-12,14221.12,14346.94,14217.22,14288.12,
2021-02-15,14217.23,14601.7,14137.38,14558.41,
2021-02-16,14529.4,14571.59,14465.94,14515.98,
2021-02-17,14551.77,14555.57,14460.22,14460.67,
2021-02-18,14380.33,14394.99,14351.1,14368.69,
2021-02-19,14358.7,14471.82,14341.69,14451.87,
2021-02-22,14417.76,14642.59,14365.22,14599.04,
2021-02-23,14622.53,14626.16,14561.47,14592.73,
2021-02-24,14573.03,14634.68,14445.18,14496.66,
2021-02-25,14508.37,14521.84,14332.16,14403.14,
2021-02-26,14419.43,14517.91,14345.21,14490.78,
2021-03-01,14544.0,14626.91,14496.33,14590.44,
2021-03-02,14584.52,14760.79,14566.26,14665.81,
2021-03-03,14676.84,14697.53,14518.06,14590.91,
2021-03-04,14547.57,14658.86,14533.82,14627.57,
2021-03-05,14662.4,14733.14,14625.19,14649.93,
2021-03-09,14627.65,14721.3,14626.88,14685.06,
2021-03-10,14668.59,14857.15,14623.42,14802.18,
2021-03-11,14801.52,14851.06,14779.76,14838.29,
2021-03-12,14791.91,15017.9,14738.13,14932.17,
2021-03-15,14939.0,14995.32,14881.69,14948.76,
2021-03-16,14977.68,15018.04,14959.63,14993.58,
2021-03-17,15002.36,15146.19,14951.81,15082.33,
