client_id,onboard_date,city,segment,risk_profile,aum_inr,products_held,tenure_months,sip_active,relationship_manager,churned
CUST0001,2019-09-05,Chennai,Mass,Aggressive,197413.0,4,77,0,RM22,0
CUST0002,2020-10-29,Bengaluru,Affluent,Conservative,5157805.0,6,63,0,RM20,0
CUST0003,2014-11-30,Ahmedabad,Mass,Conservative,,2,135,1,RM11,1
CUST0004,2023-10-14,Ahmedabad,Affluent,,6556382.0,1,27,1,RM07,0
CUST0005,2019-03-09,Pune,Mass,Conservative,671675.0,5,83,1,RM17,0
CUST0006,2016-09-20,Ahmedabad,Affluent,Conservative,6394682.0,5,113,1,RM14,0
CUST0007,2020-09-29,Hyderabad,Mass,Moderate,1041775.0,2,64,0,RM06,0
CUST0008,2023-01-17,Delhi,Mass,Conservative,298714.0,6,36,1,RM02,0
CUST0009,2024-06-10,Pune,Ultra-HNI,Aggressive,106988853.0,4,19,1,RM21,1
CUST0010,2018-08-11,Mumbai,Mass,Conservative,533237.0,5,90,0,RM22,0
CUST0011,2018-07-12,Chennai,Mass,Moderate,886475.0,3,91,1,RM23,0
CUST0012,2017-04-18,Kolkata,Mass,,1170059.0,3,106,1,RM10,0
CUST0013,2016-01-24,Delhi,Mass,Moderate,1174487.0,3,121,1,RM18,0
CUST0014,2014-04-04,Hyderabad,Affluent,Moderate,5290241.0,5,143,1,RM15,0
CUST0015,2023-10-14,Kolkata,Ultra-HNI,Moderate,73185076.0,5,27,0,RM07,0
CUST0016,2020-10-29,Kolkata,HNI,Conservative,32634876.0,6,63,0,RM24,0
CUST0017,2022-02-21,Hyderabad,Affluent,Conservative,2158002.0,2,47,0,RM09,0
CUST0018,2015-08-27,Bengaluru,Affluent,Moderate,2919643.0,5,126,0,RM01,0
CUST0019,2024-08-09,Delhi,Mass,Moderate,571917.0,5,17,1,RM05,0
CUST0020,2018-02-12,Delhi,HNI,Moderate,9600288.0,1,96,1,RM25,0
CUST0021,2022-03-23,Pune,Affluent,Conservative,4243488.0,5,46,0,RM02,0
CUST0022,2025-11-02,Bengaluru,Mass,Aggressive,557294.0,1,2,1,RM14,0
CUST0023,2018-11-09,Pune,HNI,Conservative,20962569.0,1,87,1,RM13,0
CUST0024,2021-04-27,Mumbai,Mass,Aggressive,646323.0,1,57,0,RM20,1
CUST0025,2017-10-15,Bengaluru,Mass,Conservative,1200780.0,4,100,1,RM21,0
CUST0026,2021-04-27,Chennai,Affluent,Aggressive,6752970.0,1,57,0,RM12,0
CUST0027,2023-09-14,Kolkata,Mass,Moderate,641313.0,4,28,1,RM16,0
CUST0028,2024-07-10,Mumbai,Mass,Moderate,555179.0,5,18,1,RM21,0
CUST0029,2023-10-14,Chennai,Mass,Conservative,649646.0,4,27,0,RM21,0
CUST0030,2020-10-29,Chennai,Affluent,Aggressive,4847224.0,2,63,1,RM23,0
CUST0031,2022-10-19,Bengaluru,Mass,Conservative,2664845.0,3,39,1,RM18,0
CUST0032,2024-08-09,Kolkata,Mass,Moderate,299150.0,5,17,1,RM10,0
CUST0033,2022-03-23,Ahmedabad,Mass,Conservative,400668.0,3,46,1,RM14,0
CUST0034,2016-01-24,Mumbai,Mass,Moderate,369620.0,4,121,1,RM19,0
CUST0035,2016-01-24,Ahmedabad,Mass,Moderate,773313.0,5,121,1,RM08,0
CUST0036,2021-08-25,Ahmedabad,Mass,Moderate,756654.0,4,53,1,RM25,0
CUST0037,2019-10-05,Kolkata,Mass,Moderate,486577.0,3,76,0,RM12,0
CUST0038,2023-10-14,Mumbai,Mass,Moderate,1091655.0,1,27,0,RM19,0
CUST0039,2021-01-27,Chennai,Mass,Moderate,817210.0,5,60,1,RM13,1
CUST0040,2018-11-09,Pune,Mass,Conservative,1117155.0,2,87,1,RM24,0
CUST0041,2025-10-03,Delhi,HNI,Moderate,38734463.0,3,3,1,RM17,0
CUST0042,2015-10-26,Delhi,Mass,Moderate,206543.0,1,124,1,RM19,0
CUST0043,2015-03-30,Hyderabad,Mass,Conservative,972310.0,5,131,1,RM20,0
CUST0044,2014-11-30,Kolkata,Mass,Moderate,328013.0,6,135,0,RM09,1
CUST0045,2023-06-16,Delhi,Affluent,Conservative,5651985.0,6,31,1,RM09,0
CUST0046,2015-05-29,Mumbai,Mass,Aggressive,,2,129,1,RM21,0
CUST0047,2024-08-09,Ahmedabad,Affluent,Moderate,4846284.0,1,17,1,RM12,0
CUST0048,2015-06-28,Chennai,Affluent,Moderate,2540315.0,1,128,1,RM17,0
CUST0049,2024-05-11,Mumbai,Mass,Aggressive,1175387.0,3,20,0,RM13,0
CUST0050,2021-10-24,Ahmedabad,Mass,Moderate,327934.0,1,51,1,RM01,0
CUST0051,2014-10-01,Bengaluru,HNI,Conservative,30193398.0,2,137,0,RM12,1
CUST0052,2020-01-03,Mumbai,Mass,Conservative,303398.0,4,73,1,RM05,0
CUST0053,2023-05-17,Pune,Affluent,Moderate,4879335.0,1,32,1,RM03,0
CUST0054,2021-07-26,Kolkata,Affluent,Conservative,13293099.0,4,54,0,RM07,0
CUST0055,2022-01-22,Delhi,Mass,Conservative,2444221.0,6,48,0,RM08,0
CUST0056,2015-01-29,Pune,Affluent,Moderate,2022905.0,6,133,0,RM19,0
CUST0057,2021-01-27,Chennai,Mass,Conservative,452636.0,6,60,1,RM07,0
CUST0058,2024-11-07,Bengaluru,Mass,Conservative,,2,14,0,RM20,1
CUST0059,2024-01-12,Pune,Affluent,Conservative,17032262.0,4,24,1,RM06,0
CUST0060,2019-06-07,Mumbai,HNI,Conservative,19244978.0,1,80,1,RM21,0
CUST0061,2025-11-02,Delhi,Mass,,1204296.0,2,2,0,RM14,0
CUST0062,2023-01-17,Kolkata,Affluent,Conservative,5810512.0,5,36,1,RM02,0
