fiscal_year,revenue_cr,cogs_cr,gross_profit_cr,employee_cost_cr,marketing_cr,other_opex_cr,ebitda_cr,depreciation_cr,ebit_cr,interest_cr,pbt_cr,tax_cr,pat_cr,stores_count,avg_ticket_size_inr,revenue_cr_as_first_reported
FY16-17,2450.0,1488.2,961.8,319.0,153.5,182.3,307.0,73.1,233.9,31.9,202.0,50.9,151.1,180,877.0,2450.0
FY17-18,2724.4,1595.2,1129.2,297.6,135.5,162.8,533.3,97.0,436.3,45.2,391.1,98.6,292.5,196,912.0,2724.4
FY18-19,3318.3,2067.5,1250.8,347.9,162.3,261.2,479.4,139.8,339.6,63.2,276.4,69.7,206.7,213,967.0,3318.3
FY19-20,3824.8,2325.5,1499.3,434.2,241.1,306.9,517.1,132.7,384.4,76.0,308.4,77.7,230.7,233,993.0,3824.8
FY20-21,3496.9,2176.5,1320.4,393.9,217.7,264.7,444.1,108.0,336.1,48.8,287.3,72.4,214.9,254,1054.0,3647.3
FY21-22,3323.8,2038.8,1285.0,395.8,222.4,265.4,401.4,118.5,282.9,61.8,221.1,55.7,165.4,276,1091.0,3323.8
FY22-23,3634.4,2220.0,1414.4,442.1,209.8,271.5,491.0,108.1,382.9,82.8,300.1,75.6,224.5,301,1148.0,3634.4
FY23-24,4167.4,2569.4,1598.0,475.7,326.0,268.7,527.6,125.8,401.8,81.5,320.3,80.7,239.6,329,1200.0,4167.4
FY24-25,4792.0,2913.9,1878.1,544.4,279.8,348.0,705.9,187.9,518.0,90.2,427.8,107.8,320.0,358,1264.0,4792.0
FY25-26,5383.1,3282.6,2100.5,657.4,253.0,393.5,796.6,180.2,616.4,120.9,495.5,124.9,370.6,390,1326.0,5383.1
