date,ticker,sector,close,volume
2022-01-03,RELIANCE.NS,Energy,2432.92,3852973
2022-01-04,RELIANCE.NS,Energy,2402.53,4705383
2022-01-05,RELIANCE.NS,Energy,2409.21,4912641
2022-01-06,RELIANCE.NS,Energy,2392.82,3673782
2022-01-07,RELIANCE.NS,Energy,2411.8,4042571
2022-01-10,RELIANCE.NS,Energy,2419.02,3148596
2022-01-11,RELIANCE.NS,Energy,2438.59,3135768
2022-01-12,RELIANCE.NS,Energy,2446.75,6942619
2022-01-13,RELIANCE.NS,Energy,2393.07,3719893
2022-01-14,RELIANCE.NS,Energy,2376.9,3976433
2022-01-17,RELIANCE.NS,Energy,2397.39,3886335
2022-01-18,RELIANCE.NS,Energy,2368.96,4547242
2022-01-19,RELIANCE.NS,Energy,2335.6,3300588
2022-01-20,RELIANCE.NS,Energy,2263.64,3413590
2022-01-21,RELIANCE.NS,Energy,2300.58,5542466
2022-01-24,RELIANCE.NS,Energy,2317.11,2372463
2022-01-25,RELIANCE.NS,Energy,2347.34,4262725
2022-01-27,RELIANCE.NS,Energy,2318.97,2995663
2022-01-28,RELIANCE.NS,Energy,2310.59,1976505
2022-01-31,RELIANCE.NS,Energy,2292.09,3880927
2022-02-01,RELIANCE.NS,Energy,2312.65,2665609
2022-02-02,RELIANCE.NS,Energy,2305.34,2503825
2022-02-03,RELIANCE.NS,Energy,2304.95,9904765
2022-02-04,RELIANCE.NS,Energy,2247.03,4826967
2022-02-07,RELIANCE.NS,Energy,2234.19,4868601
2022-02-08,RELIANCE.NS,Energy,2219.7,3919056
2022-02-09,RELIANCE.NS,Energy,2239.58,2628829
2022-02-10,RELIANCE.NS,Energy,2235.65,3768078
2022-02-11,RELIANCE.NS,Energy,2218.33,3525999
2022-02-14,RELIANCE.NS,Energy,2222.98,2036013
2022-02-15,RELIANCE.NS,Energy,2268.78,7474091
2022-02-16,RELIANCE.NS,Energy,2274.01,3869761
2022-02-17,RELIANCE.NS,Energy,2232.95,2983242
2022-02-18,RELIANCE.NS,Energy,2199.63,4168657
2022-02-21,RELIANCE.NS,Energy,2256.41,2464454
2022-02-22,RELIANCE.NS,Energy,2313.44,2875534
2022-02-23,RELIANCE.NS,Energy,2312.68,6836339
2022-02-24,RELIANCE.NS,Energy,2309.25,3328710
2022-02-25,RELIANCE.NS,Energy,2309.6,3967495
2022-02-28,RELIANCE.NS,Energy,2299.58,4140080
